개념라벨,판정,최종ID,최종라벨,출처,매핑유형,결정근거
"Oral anticoagulants including warfarin, coumadin, and anisindione",자동매핑후보,SNOMED:372862008,Anticoagulant,snomed,등가,LLM재질의(anticoagulant)
Epworth Sleepiness Scale score,자동매핑후보,SNOMED:763254009,ESS (Epworth Sleepiness Scale) score,snomed,등가,LLM판정-후보1
Sleep Habits: Fall asleep while a passenger in a car,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Sleep Habits: Fall asleep while in a car,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Sleep Habits: Fall asleep while lying down in the afternoon,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Sleep Habits: Fall asleep while sitting and reading,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Sleep Habits: Fall asleep while sitting and talking,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Sleep Habits: Fall asleep while sitting inactive in a public place,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Sleep Habits: Fall asleep while sitting quietly after lunch,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Sleep Habits: Fall asleep while watching TV,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Health Interview: Aspirin in last 2 weeks,자동매핑후보,SNOMED:387458008,Aspirin,snomed,등가,LLM재질의(aspirin)
Health Interview: Doctor of Medicine (MD) prescribed nitro in last year,자동매핑후보,SNOMED:439312002,Occupational circumstances assessment interview and rating scale forensic mental health version 4.0,snomed,등가,LLM판정-후보1
Health Interview: Hours slept during naps,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Health Interview: How stressful was day today,자동매핑후보,SNOMED:262188008,Stress,snomed,관련,LLM재질의(stress)
Health Interview: Language of interview,관리변수,,(매핑비대상),,무매핑,LLM판정-관리변수
Health Interview: Minutes slept during naps,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
"Health Interview: Since smoking began, non-smoker for one year or more",자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Health Interview: Sleeping pills at least 1 day per week,자동매핑후보,SNOMED:1157257000,Poisoning by hypnotic agent,snomed,관련,LLM재질의(hypnotic)
Health Interview: cans of beer per week,자동매핑후보,NCIT:C16273,Alcohol Consumption,mondo,관련,LLM판정-검증ID
Health Interview: cigarettes smoked per day,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Health Interview: cups of coffee on a regular day,자동매핑후보,SNOMED:255641001,Caffeine,snomed,관련,LLM재질의(caffeine)
Health Interview: cups of soda (with caffeine) on a regular day,자동매핑후보,SNOMED:255641001,Caffeine,snomed,관련,LLM재질의(caffeine)
Health Interview: cups of tea on a regular day,자동매핑후보,SNOMED:255641001,Caffeine,snomed,관련,LLM재질의(caffeine)
Health Interview: days taken aspirin in last week,자동매핑후보,SNOMED:387458008,Aspirin,snomed,등가,LLM재질의(aspirin)
Health Interview: drinks with hard liquor per week,자동매핑후보,NCIT:C16273,Alcohol Consumption,mondo,관련,LLM판정-검증ID
Health Interview: glasses of wine per week,자동매핑후보,NCIT:C16273,Alcohol Consumption,mondo,관련,LLM판정-검증ID
Health Interview: now smoke cigarettes,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Health Interview: smoked cigarettes,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Health Interview: years of not smoking,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Sleep Habits: Changes in snoring,자동매핑후보,HP:0025267,Snoring,hp,관련,LLM판정-검증ID
Sleep Habits: Doctor of Medicine (MD) diagnosed Sleep Apnea,자동매핑후보,MONDO:0005296,sleep apnea syndrome,mondo,관련,LLM판정-검증ID
Sleep Habits: Ever snored,자동매핑후보,HP:0025267,Snoring,hp,관련,LLM판정-검증ID
Sleep Habits: Fall asleep while at the dinner table,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Sleep Habits: Fall asleep while driving,자동매핑후보,SNOMED:708735004,Epworth Sleepiness Scale,snomed,관련,LLM판정-검증ID
Sleep Habits: Frequency of being awakened by noise,자동매핑후보,HP:0012452,Restless legs,hp,관련,LLM재질의(sleep maintenance insomnia)
Sleep Habits: Frequency of being awakened with chest pain,자동매핑후보,SNOMED:29857009,Chest pain,snomed,관련,LLM재질의(chest pain)
Sleep Habits: Frequency of being awakened with coughing,자동매핑후보,HP:0012735,Cough,hp,관련,LLM재질의(cough)
Sleep Habits: Frequency of being awakened with heartburn or indigestion,자동매핑후보,SNOMED:16331000,Heartburn,snomed,관련,LLM재질의(heartburn)
Sleep Habits: Frequency of being awakened with leg cramps or jerks,자동매핑후보,EFO:0009846,muscle cramp,efo,관련,LLM재질의(muscle cramp)
Sleep Habits: Frequency of being awakened with need to go to bathroom,자동매핑후보,SNOMED:139394000,Nocturia,snomed,관련,LLM재질의(nocturia)
Sleep Habits: Frequency of being awakened with pain,자동매핑후보,HP:0012452,Restless legs,hp,관련,LLM재질의(sleep maintenance insomnia)
Sleep Habits: Frequency of being awakened with shortness of breath,자동매핑후보,HP:0002094,Dyspnea,hp,관련,LLM재질의(dyspnea)
Sleep Habits: Frequency of being awakened with sweats or hot flashes,자동매핑후보,SNOMED:42984000,Night sweats,snomed,관련,LLM재질의(night sweats)
Sleep Habits: Frequency of being household members in or near sleeping area,자동매핑후보,HP:0012452,Restless legs,hp,관련,LLM재질의(sleep maintenance insomnia)
Sleep Habits: Frequency of excessive daytime sleepiness,자동매핑후보,SNOMED:1367959007,Excessive daytime sleepiness,snomed,관련,LLM재질의(excessive daytime sleepiness)
Sleep Habits: Frequency of feeling unrested,자동매핑후보,OBA:2040170,sleep quality,efo,관련,LLM재질의(sleep quality)
Sleep Habits: Frequency of not getting enough sleep,자동매핑후보,HP:0031849,Sleep-wake inversion,hp,관련,LLM판정-후보1
Sleep Habits: Frequency of snoring,자동매핑후보,HP:0025267,Snoring,hp,관련,LLM판정-검증ID
Sleep Habits: Frequency of stopping breathing during sleep,자동매핑후보,HP:0002104,Apnea,hp,관련,LLM재질의(apnea)
Sleep Habits: Frequency of taking sleeping pills,자동매핑후보,SNOMED:1157257000,Poisoning by hypnotic agent,snomed,관련,LLM재질의(hypnotic)
Sleep Habits: Frequency of trouble falling asleep,자동매핑후보,HP:0031354,Sleep onset insomnia,hp,관련,LLM판정-검증ID
Sleep Habits: Frequency of waking up and having difficulty resuming sleep,자동매핑후보,HP:0012452,Restless legs,hp,관련,LLM재질의(sleep maintenance insomnia)
Sleep Habits: Frequency of waking up too early and unable to resume sleep,자동매핑후보,HP:0031356,Terminal insomnia,hp,관련,LLM재질의(early morning awakening)
Sleep Habits: Loudness of snoring,자동매핑후보,HP:0025267,Snoring,hp,관련,LLM판정-검증ID
Sleep Habits: Stop breathing during sleep,자동매핑후보,HP:0002104,Apnea,hp,관련,LLM재질의(apnea)
Sleep Habits: Surgery for snoring,자동매핑후보,HP:0025267,Snoring,hp,관련,LLM판정-검증ID
Sleep Habits: Use oxygen therapy during sleep,자동매핑후보,SNOMED:57485005,Oxygen therapy,snomed,관련,LLM재질의(oxygen therapy)
Sleep Habits: Use pressure mask (Continuous Positive Airway Pressure (CPAP)) or mouthpiece for sleep apnea,자동매핑후보,EFO:0010719,continuous positive airway pressure,efo,관련,LLM판정-검증ID
Sleep Habits: Years of snoring,자동매핑후보,HP:0025267,Snoring,hp,관련,LLM판정-검증ID
Sleep Habits: number of naps per week,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Sleep Habits: sleep time on weekdays,자동매핑후보,NBO:0000160,sleep duration,mondo,관련,LLM판정-검증ID
Sleep Habits: sleep time on weekends,자동매핑후보,NBO:0000160,sleep duration,mondo,관련,LLM판정-검증ID
Sleep Habits: time to fall asleep,자동매핑후보,OBA:2040172,sleep latency,efo,관련,LLM판정-검증ID
Sleep Habits: weekday bedtime - AM or PM,자동매핑후보,SNOMED:21029003,Bedtime,snomed,관련,LLM판정-검증ID
Sleep Habits: weekday bedtime - hour,자동매핑후보,SNOMED:21029003,Bedtime,snomed,관련,LLM판정-검증ID
Sleep Habits: weekday bedtime - minute,자동매핑후보,SNOMED:21029003,Bedtime,snomed,관련,LLM판정-검증ID
Sleep Habits: weekday wake time - AM or PM,자동매핑후보,HP:0031355,Maintenance insomnia,hp,관련,LLM재질의(waking time)
Sleep Habits: weekday wake time - hour,자동매핑후보,HP:0031355,Maintenance insomnia,hp,관련,LLM재질의(waking time)
Sleep Habits: weekday wake time - minute,자동매핑후보,HP:0031355,Maintenance insomnia,hp,관련,LLM재질의(waking time)
Sleep Habits: weekend bedtime - AM or PM,자동매핑후보,SNOMED:21029003,Bedtime,snomed,관련,LLM판정-검증ID
Sleep Habits: weekend bedtime - hour,자동매핑후보,SNOMED:21029003,Bedtime,snomed,관련,LLM판정-검증ID
Sleep Habits: weekend bedtime- minute,자동매핑후보,SNOMED:21029003,Bedtime,snomed,관련,LLM판정-검증ID
Sleep Habits: weekend wake time - AM or PM,자동매핑후보,HP:0031355,Maintenance insomnia,hp,관련,LLM재질의(waking time)
Sleep Habits: weekend wake time - hour,자동매핑후보,HP:0031355,Maintenance insomnia,hp,관련,LLM재질의(waking time)
Sleep Habits: weekend wake time - minute,자동매핑후보,HP:0031355,Maintenance insomnia,hp,관련,LLM재질의(waking time)
Smoking Status at Sleep Heart Health Study Visit One,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Health Interview: Age when restless leg symptoms first noticed,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Health Interview: Frequency of restless legs,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Health Interview: How bothersome is restless legs,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Health Interview: How well slept last night,자동매핑후보,OBA:2040170,sleep quality,efo,관련,LLM재질의(sleep quality)
Health Interview: Number of days took aspirin,자동매핑후보,SNOMED:387458008,Aspirin,snomed,등가,LLM재질의(aspirin)
Health Interview: Restless leg symptoms worse at night,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Health Interview: Time went to sleep last night,자동매핑후보,SNOMED:21029003,Bedtime,snomed,관련,LLM판정-검증ID
Health Interview: Total minutes slept during nap,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Health Interview: Total minutes slept last night,자동매핑후보,NBO:0000160,sleep duration,mondo,관련,LLM판정-검증ID
Health Interview: Unpleasant feeling in legs,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Health Interview: Urge to move legs,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Health Interview: When do restless legs happen,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Health Interview: restless leg symptoms during what time of day,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Health Interview: restless leg symptoms improve with walking,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Health Interview: restless legs worse when not moving,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Physical Measurements: 1st: Left leg posterior systolic blood pressure (BP),자동매핑후보,SNOMED:271649006,Systolic blood pressure,snomed,관련,LLM판정-검증ID
Physical Measurements: 1st: Rt leg posterior systolic blood pressure (BP),자동매핑후보,SNOMED:271649006,Systolic blood pressure,snomed,관련,LLM판정-검증ID
Physical Measurements: 1st: Rt/left arm systolic blood pressure (BP),자동매핑후보,SNOMED:271649006,Systolic blood pressure,snomed,관련,LLM판정-검증ID
Physical Measurements: 2nd: Left leg posterior systolic blood pressure (BP),자동매핑후보,SNOMED:271649006,Systolic blood pressure,snomed,관련,LLM판정-검증ID
Physical Measurements: 2nd: Rt leg posterior systolic blood pressure (BP),자동매핑후보,SNOMED:271649006,Systolic blood pressure,snomed,관련,LLM판정-검증ID
Physical Measurements: 2nd: Rt/left arm systolic blood pressure (BP),자동매핑후보,SNOMED:271649006,Systolic blood pressure,snomed,관련,LLM판정-검증ID
Physical Measurements: Date of completed,관리변수,,(매핑비대상),,무매핑,LLM판정-관리변수
The Short Sleep Apnea Quality of Life Index (SAQLI) Score,자동매핑후보,MONDO:0005296,sleep apnea syndrome,mondo,관련,LLM판정-검증ID
Sleep Habits: Can/bottles of beer per week,자동매핑후보,NCIT:C16273,Alcohol Consumption,mondo,관련,LLM판정-검증ID
Sleep Habits: Cans of cola per day,자동매핑후보,SNOMED:255641001,Caffeine,snomed,관련,LLM재질의(caffeine)
Sleep Habits: Cups of coffee per day,자동매핑후보,SNOMED:255641001,Caffeine,snomed,관련,LLM재질의(caffeine)
Sleep Habits: Cups of tea per day,자동매핑후보,SNOMED:255641001,Caffeine,snomed,관련,LLM재질의(caffeine)
Sleep Habits: Current smoker,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Sleep Habits: Did not smoke for a year while smoker,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Sleep Habits: Doctor of Medicine (MD) Diagnosed Insomnia,자동매핑후보,SNOMED:193462001,Insomnia,snomed,관련,LLM판정-검증ID
Sleep Habits: Doctor of Medicine (MD) Diagnosed Narcolepsy,자동매핑후보,SNOMED:60380001,Narcolepsy,snomed,관련,LLM재질의(narcolepsy)
Sleep Habits: Doctor of Medicine (MD) Diagnosed Other sleep disorder,자동매핑후보,SNOMED:39898005,Sleep disorder,snomed,관련,LLM판정-검증ID
Sleep Habits: Doctor of Medicine (MD) Diagnosed Restless legs,자동매핑후보,SNOMED:32914008,Restless legs syndrome,snomed,관련,LLM판정-검증ID
Sleep Habits: Drinks of hard liquor per week,자동매핑후보,NCIT:C16273,Alcohol Consumption,mondo,관련,LLM판정-검증ID
Sleep Habits: Frequency of Leg cramps,자동매핑후보,EFO:0009846,muscle cramp,efo,관련,LLM재질의(muscle cramp)
Sleep Habits: Frequency of Leg jerks,자동매핑후보,HP:5200295,Periodic limb movements of sleep,hp,관련,LLM판정-검증ID
Sleep Habits: Frequency of nasal stuffiness at night,자동매핑후보,HP:0001742,Nasal congestion,hp,관련,LLM재질의(nasal congestion)
Sleep Habits: Glasses of cola per day,자동매핑후보,SNOMED:255641001,Caffeine,snomed,관련,LLM재질의(caffeine)
Sleep Habits: Glasses of wine per week,자동매핑후보,NCIT:C16273,Alcohol Consumption,mondo,관련,LLM판정-검증ID
Sleep Habits: Nap due to illness or medical reason,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Sleep Habits: Nap due to not enough sleep at night,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Sleep Habits: Nap to feel refreshed,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Sleep Habits: Number of 5+ minute naps during week,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Sleep Habits: Number of years did not smoke,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Sleep Habits: Number of years since started smoking,자동매핑후보,SNOMED:102408007,Cigarette smoke,snomed,관련,LLM재질의(cigarette smoking)
Sleep Habits: Other reason for nap,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
Sleep Habits: Regular nap every afternoon,자동매핑후보,SNOMED:1217385000,Naproxen (as naproxen sodium) 200 mg oral tablet,snomed,관련,LLM재질의(napping)
